season,hour,kappa_c_mean,kappa_c_std,n_valid,n_total
summer,0,1.716875,0.1484924240491748,2,2
summer,1,1.3975,0.16528621010235572,2,2
summer,2,1.1956250000000002,0.12020815280171286,2,2
summer,3,1.1984375,0.23467106300628524,2,2
summer,4,1.7328125,0.0941335902454591,2,2
summer,5,1.015625,0.13346640494896092,2,2
summer,6,1.0709375,0.3036139741719737,2,2
summer,7,0.1715625,0.02695844603273712,2,2
summer,8,1.6334374999999999,0.012816310409006293,2,2
summer,9,2.880625,0.45254833995939053,2,2
summer,10,5.120625,0.0,2,2
summer,11,5.120625,0.0,2,2
summer,12,5.836562499999999,0.06496543552151463,2,2
summer,13,6.080625,1.3576450198781713,2,2
summer,14,5.65625,0.47464542687147043,2,2
summer,15,4.560625,0.7919595949289339,2,2
summer,16,3.0231250000000003,0.39863144789391664,2,2
summer,17,0.8846875000000001,0.27974912030692783,2,2
summer,18,0.6712499999999999,0.0026516504294494966,2,2
summer,19,2.180625,0.0026516504294496535,2,2
summer,20,3.100625,0.5374011537017765,2,2
summer,21,3.068437500000001,0.22759999519442053,2,2
summer,22,2.9837499999999997,0.3553211575462407,2,2
summer,23,1.8625000000000003,0.18384776310850204,2,2
winter,0,2.6959375000000003,0.727878042883902,2,2
winter,1,2.560625,0.9050966799187808,2,2
winter,2,2.2843750000000003,0.843224836564958,2,2
winter,3,1.9562499999999998,0.8547153217592394,2,2
winter,4,2.0171874999999995,0.9532683293871141,2,2
winter,5,1.4109375000000002,0.4238221269736872,2,2
winter,6,2.123125,0.6187184335382291,2,2
winter,7,2.3359374999999996,0.3884667879143592,2,2
winter,8,2.7606249999999997,0.05656854249492385,2,2
winter,9,2.6334375000000003,0.8489700791620992,2,2
winter,10,0.8203124999999998,0.8304085261559517,2,2
winter,11,0.7128125,0.35045979842558267,2,2
winter,12,0.62625,0.44194173824159216,2,2
winter,13,1.0909375,0.6960582377305076,2,2
winter,14,0.41593750000000007,0.23909048038870143,2,2
winter,15,0.6878125000000002,0.1674959187935635,2,2
winter,16,3.2890625,0.06850096942744698,2,2
winter,17,5.120625,0.0,2,2
winter,18,5.440625,0.4525483399593896,2,2
winter,19,6.240625,,1,2
winter,20,6.008437499999999,1.0213273570763202,2,2
winter,21,5.200625,0.11313708498984645,2,2
winter,22,3.353125,0.38890872965260104,2,2
winter,23,3.4615625000000003,0.13125669625775252,2,2
