month,month_name,hour,avg_kwh,p10_kwh,p90_kwh
6,Jun,13,0.3657927494920794,0.1157457627118644,0.6795881999358976
6,Jun,14,0.35665006863935167,0.11410166666666667,0.6660765634132098
6,Jun,15,0.3735758365128888,0.1189880790960452,0.7018427100056497
6,Jun,16,0.4149170989877891,0.12800666666666666,0.7878650000000001
6,Jun,17,0.45604939212010015,0.13930191489361704,0.8697650000000003
6,Jun,18,0.4840401741141926,0.15210666666666667,0.9198512674712648
6,Jun,19,0.48334412576092484,0.15671666666666664,0.9040666700000001
6,Jun,20,0.49123264031623787,0.16052621468926553,0.9036226300789475
6,Jun,21,0.49405100387423756,0.15725840108401085,0.9207317831609207
6,Jun,22,0.4190311935042629,0.12003051724137931,0.8065619312727275
6,Jun,23,0.31750491835376443,0.08879166666666669,0.6313513734658095
7,Jul,0,0.273083020843459,0.08000322580645161,0.5107774193548388
7,Jul,1,0.23019464562944292,0.07126129032258065,0.43131290322580645
7,Jul,2,0.21093895144134844,0.0682516129032258,0.3864516129032259
7,Jul,3,0.20058121220874095,0.06695161290322581,0.36421612903225825
7,Jul,4,0.20519800383106812,0.0676225806451613,0.3691869727047146
7,Jul,5,0.23261113815293602,0.0751483870967742,0.42911993087557615
7,Jul,6,0.29589855115079455,0.09210322580645162,0.5566290322580646
7,Jul,7,0.3444086207857641,0.1102,0.6369806461290323
7,Jul,8,0.3553629663986109,0.11677903225806452,0.646116129032258
7,Jul,9,0.3577356929541368,0.11830967741935486,0.6506187561708482
7,Jul,10,0.3547518453824206,0.1163274193548387,0.6435999988709676
7,Jul,11,0.35981409787736246,0.11658709677419356,0.6658329749103942
7,Jul,12,0.3613510265625109,0.1197684418746196,0.6593193537096771
7,Jul,13,0.34850109159221837,0.11645645161290322,0.6321483859677418
7,Jul,14,0.3419690193678213,0.11454044205495818,0.6237293548387096
7,Jul,15,0.3567678655599582,0.11897580645161292,0.6519258064516129
7,Jul,16,0.3908958630097176,0.1285258064516129,0.7341822569354837
7,Jul,17,0.4300237711734933,0.14066612903225806,0.8057016140322579
7,Jul,18,0.45709161333227066,0.15086774193548388,0.84527903
7,Jul,19,0.4588365853418341,0.15353709677419353,0.8430435506451611
7,Jul,20,0.4750935503925943,0.16057903225806452,0.8548612903225805
7,Jul,21,0.48099652863304654,0.15791451612903226,0.8867387101612902
7,Jul,22,0.4121074070853658,0.12482096774193549,0.777195698924731
7,Jul,23,0.3182125260206604,0.09448387096774194,0.6188016117741935
8,Aug,0,0.26772675805847523,0.07711935483870969,0.5052790322580645
8,Aug,1,0.22705686643407877,0.06916290322580645,0.41757419354838743
8,Aug,2,0.20707660098902028,0.06701774193548388,0.3736661290322584
8,Aug,3,0.197950902402564,0.06503387096774194,0.3538080645161291
8,Aug,4,0.20095690887325227,0.06603548387096775,0.3574145161290325
8,Aug,5,0.2248110244783902,0.07161612903225807,0.40602903225806464
8,Aug,6,0.27485319334273645,0.08694193548387097,0.5083725806451614
8,Aug,7,0.32376856861865044,0.10527580645161291,0.6009516085483874
8,Aug,8,0.3464581340735455,0.11388387096774193,0.6375209691935485
8,Aug,9,0.35103320530643,0.114730645,0.6397629001612903
8,Aug,10,0.34969623176199716,0.11429516129032258,0.64332580483871
8,Aug,11,0.3552329971638779,0.11340484016129032,0.6575903211290324
8,Aug,12,0.3578757967532124,0.118169355,0.6588338724193549
8,Aug,13,0.3431285215032605,0.11457903225806451,0.632725806451613
8,Aug,14,0.33607271203133104,0.11143870967741935,0.6165104973701478
8,Aug,15,0.34570718702186354,0.11529354838709677,0.6294629032258066
8,Aug,16,0.37762461882587667,0.12471129032258066,0.6955193562903227
