K,q,ng,nc,np,net_seed,role_seed,kappa_c
4,0.0,5,5,40,1084788854,602546386,0.4617187500000011
4,0.0,5,5,40,288648177,2949039457,0.43046875000000123
4,0.0,5,5,40,20521519,3008252288,0.3929687500000019
4,0.0,5,5,40,1084788854,2954125052,0.5476562500000012
4,0.0,5,5,40,20521519,2889776913,0.38984375000000204
4,0.0,5,5,40,20521519,1531773021,0.4429687500000012
4,0.0,5,5,40,1084788854,980233919,0.45546875000000114
4,0.0,5,5,40,288648177,1205914872,0.46328125000000114
4,0.0,5,5,40,288648177,358114446,0.39140625000000207
4,0.0,5,5,40,288648177,493943297,0.4742187500000012
4,0.0,5,5,40,20521519,2065279719,0.4914062500000012
4,0.0,5,5,40,288648177,992999148,0.4382812500000011
4,0.0,5,5,40,20521519,1412107301,0.5304687500000012
4,0.0,5,5,40,3263921984,3749287743,0.3773437500000023
4,0.0,5,5,40,3263921984,2921910037,0.41953125000000147
4,0.0,5,5,40,3263921984,1614516710,0.4976562500000012
4,0.0,5,5,40,3263921984,731575531,0.3367187500000024
4,0.0,5,5,40,3263921984,1865256898,0.4679687500000012
4,0.0,5,5,40,1337582607,3641200991,0.35234375000000234
4,0.0,5,5,40,3399497917,3597525105,0.3617187500000024
4,0.0,5,5,40,1337582607,3983437818,0.42265625000000134
4,0.0,5,5,40,1337582607,3833451797,0.4757812500000012
4,0.0,5,5,40,3399497917,1851849937,0.4132812500000016
4,0.0,5,5,40,1337582607,3589987433,0.4367187500000011
4,0.0,5,5,40,3399497917,249793931,0.42578125000000133
4,0.0,5,5,40,3934673398,2160489715,0.4601562500000011
4,0.0,5,5,40,1337582607,4183307118,0.5554687500000012
4,0.0,5,5,40,3399497917,759370103,0.4132812500000016
4,0.0,5,5,40,3399497917,57996560,0.5210937500000011
4,0.0,5,5,40,3934673398,1663164381,0.39140625000000207
4,0.0,5,5,40,3934673398,3608075717,0.4007812500000019
4,0.0,5,5,40,3934673398,812533196,0.4445312500000012
4,0.0,5,5,40,3934673398,4072232016,0.4664062500000064
4,0.15,5,5,40,366063977,1048240041,0.1320312500000029
4,0.15,5,5,40,366063977,1192623281,0.15390625000000288
4,0.15,5,5,40,366063977,2103076965,0.10703125000000284
4,0.15,5,5,40,366063977,2153200888,0.1335937500000029
4,0.0,5,5,40,1529790434,103448643,0.33828125000000236
4,0.15,5,5,40,366063977,511352099,0.1601562500000029
4,0.15,5,5,40,37982453,1611513735,0.1414062500000029
4,0.15,5,5,40,3642772624,492344914,0.1710937500000029
4,0.15,5,5,40,3642772624,2171516670,0.19765625000000298
4,0.15,5,5,40,37982453,2970899326,0.1445312500000029
4,0.15,5,5,40,3642772624,2108529692,0.14921875000000293
4,0.15,5,5,40,3642772624,1370605781,0.19609375000000298
4,0.15,5,5,40,3642772624,2442861921,0.110156250000003
4,0.0,5,5,40,1529790434,970942926,0.5382812500000013
4,0.0,5,5,40,1529790434,3742304999,0.46484375000000117
4,0.0,5,5,40,1529790434,1848348258,0.43984375000000114
4,0.15,5,5,40,37982453,691050880,0.14296875000000292
4,0.0,5,5,40,1529790434,4178183047,0.47109375000000114
4,0.15,5,5,40,37982453,43047503,0.1648437500000029
4,0.15,5,5,40,2167598206,2233536844,0.19765625000000295
4,0.15,5,5,40,2167598206,757695701,0.2289062500000029
4,0.15,5,5,40,2167598206,1523450170,0.16484375000000287
4,0.15,5,5,40,37982453,719081261,0.1710937500000029
4,0.15,5,5,40,2167598206,2409166200,0.21953125000000293
4,0.15,5,5,40,2167598206,3338702208,0.214843750000003
4,0.15,5,5,40,2320982630,3586915102,0.1601562500000029
4,0.15,5,5,40,2320982630,3210039217,0.202343750000003
4,0.15,5,5,40,929414832,344379781,0.20859375000000308
4,0.15,5,5,40,929414832,2588335000,0.16171875000000296
4,0.15,5,5,40,2320982630,1864846195,0.19140625000000294
4,0.15,5,5,40,929414832,2507578702,0.30546875000000234
4,0.15,5,5,40,2320982630,1200810104,0.14921875000000287
