rg,rc,rp,ng,nc,np,family,realisation,seed,household_mean_deg,kappa_c,connected
0.1,0.1,0.8,5,5,39,SBM,15,215,4.082,14.676562,1
0.1,0.1,0.8,5,5,39,SBM,16,216,4.041,NaN,1
0.1,0.1,0.8,5,5,39,SBM,17,217,4.041,NaN,1
0.1,0.1,0.8,5,5,39,SBM,18,218,4.082,14.803906,1
0.1,0.1,0.8,5,5,39,SBM,19,219,4.041,14.367969,1
0.1,0.1,0.8,5,5,39,SBM,20,220,4.041,14.472656,1
0.1,0.1,0.8,5,5,39,SBM,21,221,4.082,14.974219,1
0.1,0.1,0.8,5,5,39,SBM,22,222,4.082,14.383594,1
0.1,0.1,0.8,5,5,39,SBM,23,223,4.000,14.821094,1
0.1,0.1,0.8,5,5,39,SBM,24,224,4.000,14.862109,1
0.1,0.1,0.8,5,5,39,SBM,25,225,3.959,14.461719,1
0.1,0.1,0.8,5,5,39,SBM,26,226,4.041,NaN,1
0.1,0.1,0.8,5,5,39,SBM,27,227,3.959,14.857031,1
0.1,0.1,0.8,5,5,39,SBM,28,228,3.959,14.873437,1
0.1,0.1,0.8,5,5,39,SBM,29,229,4.082,14.887500,1
0.1,0.1,0.8,5,5,39,CP,0,300,4.082,30.000000,1
0.1,0.1,0.8,5,5,39,CP,1,301,3.959,NaN,1
0.1,0.1,0.8,5,5,39,CP,2,302,4.082,29.675000,1
0.1,0.1,0.8,5,5,39,CP,3,303,4.041,NaN,1
0.1,0.1,0.8,5,5,39,CP,4,304,3.959,NaN,1
0.1,0.1,0.8,5,5,39,CP,5,305,4.041,29.950000,1
0.1,0.1,0.8,5,5,39,CP,6,306,3.959,29.700000,1
0.1,0.1,0.8,5,5,39,CP,7,307,3.959,29.800000,1
0.1,0.1,0.8,5,5,39,CP,8,308,4.000,30.000000,1
0.1,0.1,0.8,5,5,39,CP,9,309,4.041,29.855469,1
0.1,0.1,0.8,5,5,39,CP,10,310,4.041,NaN,1
0.1,0.1,0.8,5,5,39,CP,11,311,4.041,NaN,1
0.1,0.1,0.8,5,5,39,CP,12,312,3.959,30.000000,1
0.1,0.1,0.8,5,5,39,CP,13,313,3.959,NaN,1
0.1,0.1,0.8,5,5,39,CP,14,314,4.041,NaN,1
0.1,0.1,0.8,5,5,39,CP,15,315,4.000,NaN,1
0.1,0.1,0.8,5,5,39,CP,16,316,3.959,NaN,1
0.1,0.1,0.8,5,5,39,CP,17,317,4.041,29.937500,1
0.1,0.1,0.8,5,5,39,CP,18,318,4.000,NaN,1
0.1,0.1,0.8,5,5,39,CP,19,319,3.959,NaN,1
0.1,0.1,0.8,5,5,39,CP,20,320,4.082,29.800000,1
0.1,0.1,0.8,5,5,39,CP,21,321,3.959,29.983594,1
0.1,0.1,0.8,5,5,39,CP,22,322,4.082,30.000000,1
0.1,0.1,0.8,5,5,39,CP,23,323,4.041,29.975000,1
0.1,0.1,0.8,5,5,39,CP,24,324,4.000,29.944531,1
0.1,0.1,0.8,5,5,39,CP,25,325,4.041,29.986719,1
0.1,0.1,0.8,5,5,39,CP,26,326,3.918,29.993750,1
0.1,0.1,0.8,5,5,39,CP,27,327,4.041,NaN,1
0.1,0.1,0.8,5,5,39,CP,28,328,4.041,NaN,1
0.1,0.1,0.8,5,5,39,CP,29,329,3.918,NaN,1
0.1,0.2,0.7,5,10,34,WS,0,1000,4.000,0.171094,1
0.1,0.2,0.7,5,10,34,WS,1,1001,4.000,0.169531,1
0.1,0.2,0.7,5,10,34,WS,2,1002,4.000,0.255469,1
0.1,0.2,0.7,5,10,34,WS,3,1003,4.000,0.213281,1
0.1,0.2,0.7,5,10,34,WS,4,1004,4.000,0.241406,1
0.1,0.2,0.7,5,10,34,WS,5,1005,4.000,0.113281,1
0.1,0.2,0.7,5,10,34,WS,6,1006,4.000,0.232031,1
0.1,0.2,0.7,5,10,34,WS,7,1007,4.000,0.278906,1
0.1,0.2,0.7,5,10,34,WS,8,1008,4.000,0.132031,1
0.1,0.2,0.7,5,10,34,WS,9,1009,4.000,0.319531,1
0.1,0.2,0.7,5,10,34,WS,10,1010,4.000,0.314844,1
0.1,0.2,0.7,5,10,34,WS,11,1011,4.000,0.185156,1
0.1,0.2,0.7,5,10,34,WS,12,1012,4.000,0.175781,1
0.1,0.2,0.7,5,10,34,WS,13,1013,4.000,0.130469,1
0.1,0.2,0.7,5,10,34,WS,14,1014,4.000,0.255469,1
0.1,0.2,0.7,5,10,34,WS,15,1015,4.000,0.091406,1
0.1,0.2,0.7,5,10,34,WS,16,1016,4.000,0.108594,1
0.1,0.2,0.7,5,10,34,WS,17,1017,4.000,0.205469,1
0.1,0.2,0.7,5,10,34,WS,18,1018,4.000,0.171094,1
0.1,0.2,0.7,5,10,34,WS,19,1019,4.000,0.244531,1
0.1,0.2,0.7,5,10,34,WS,20,1020,4.000,0.230469,1
0.1,0.2,0.7,5,10,34,WS,21,1021,4.000,0.149219,1
0.1,0.2,0.7,5,10,34,WS,22,1022,4.000,0.255469,1
0.1,0.2,0.7,5,10,34,WS,23,1023,4.000,0.174219,1
0.1,0.2,0.7,5,10,34,WS,24,1024,4.000,0.135156,1
0.1,0.2,0.7,5,10,34,WS,25,1025,4.000,0.230469,1
0.1,0.2,0.7,5,10,34,WS,26,1026,4.000,0.227344,1
0.1,0.2,0.7,5,10,34,WS,27,1027,4.000,0.188281,1
0.1,0.2,0.7,5,10,34,WS,28,1028,4.000,0.150781,1
0.1,0.2,0.7,5,10,34,WS,29,1029,4.000,0.178906,1
0.1,0.2,0.7,5,10,34,RGG,0,1100,4.082,14.768750,1
0.1,0.2,0.7,5,10,34,RGG,1,1101,3.918,0.319531,1
0.1,0.2,0.7,5,10,34,RGG,2,1102,4.082,0.411719,1
0.1,0.2,0.7,5,10,34,RGG,3,1103,3.959,14.805469,1
0.1,0.2,0.7,5,10,34,RGG,4,1104,4.082,14.986719,1
0.1,0.2,0.7,5,10,34,RGG,5,1105,3.918,14.818359,1
0.1,0.2,0.7,5,10,34,RGG,6,1106,4.041,14.700781,1
0.1,0.2,0.7,5,10,34,RGG,7,1107,4.082,14.887500,1
0.1,0.2,0.7,5,10,34,RGG,8,1108,4.041,14.695117,1
0.1,0.2,0.7,5,10,34,RGG,9,1109,4.000,14.541406,1
0.1,0.2,0.7,5,10,34,RGG,10,1110,4.000,14.411719,1
0.1,0.2,0.7,5,10,34,RGG,11,1111,3.918,14.887500,1
0.1,0.2,0.7,5,10,34,RGG,12,1112,3.959,12.303906,1
0.1,0.2,0.7,5,10,34,RGG,13,1113,4.082,12.630469,1
0.1,0.2,0.7,5,10,34,RGG,14,1114,4.082,14.696094,1
0.1,0.2,0.7,5,10,34,RGG,15,1115,3.918,14.412109,1
0.1,0.2,0.7,5,10,34,RGG,16,1116,3.959,14.451172,1
0.1,0.2,0.7,5,10,34,RGG,17,1117,4.041,14.831201,1
0.1,0.2,0.7,5,10,34,RGG,18,1118,4.041,0.778906,1
0.1,0.2,0.7,5,10,34,RGG,19,1119,4.041,NaN,1
0.1,0.2,0.7,5,10,34,RGG,20,1120,4.082,14.424219,1
0.1,0.2,0.7,5,10,34,RGG,21,1121,4.000,14.893750,1
0.1,0.2,0.7,5,10,34,RGG,22,1122,4.041,14.885156,1
0.1,0.2,0.7,5,10,34,RGG,23,1123,3.959,12.762305,1
0.1,0.2,0.7,5,10,34,RGG,24,1124,3.959,14.746484,1
0.1,0.2,0.7,5,10,34,RGG,25,1125,4.041,14.377734,1
0.1,0.2,0.7,5,10,34,RGG,26,1126,3.959,14.725000,1
0.1,0.2,0.7,5,10,34,RGG,27,1127,4.000,14.824219,1
0.1,0.2,0.7,5,10,34,RGG,28,1128,3.959,14.343750,1
0.1,0.2,0.7,5,10,34,RGG,29,1129,3.918,0.802344,1
0.1,0.2,0.7,5,10,34,SBM,0,1200,3.918,NaN,1
0.1,0.2,0.7,5,10,34,SBM,1,1201,4.082,14.637500,1
0.1,0.2,0.7,5,10,34,SBM,2,1202,4.041,14.658594,1
0.1,0.2,0.7,5,10,34,SBM,3,1203,3.918,14.937500,1
0.1,0.2,0.7,5,10,34,SBM,4,1204,3.959,14.850000,1
0.1,0.2,0.7,5,10,34,SBM,5,1205,4.041,14.887500,1
0.1,0.2,0.7,5,10,34,SBM,6,1206,3.918,14.817969,1
0.1,0.2,0.7,5,10,34,SBM,7,1207,3.918,14.162109,1
0.1,0.2,0.7,5,10,34,SBM,8,1208,4.082,NaN,1
