rg,rc,rp,family,kappa_c_mean,kappa_c_std,n_valid
0.4,0.2,0.4,CP,0.200000,0.000000,30
0.4,0.2,0.4,RGG,0.271927,0.109265,30
0.4,0.2,0.4,SBM,0.087344,0.018490,30
0.4,0.2,0.4,WS,0.103646,0.025921,30
0.4,0.3,0.3,CP,0.199401,0.003226,30
0.4,0.3,0.3,RGG,0.237656,0.077901,30
0.4,0.3,0.3,SBM,0.075521,0.012643,30
0.4,0.3,0.3,WS,0.094844,0.019889,30
0.4,0.4,0.2,CP,0.200000,0.000000,30
0.4,0.4,0.2,RGG,0.233177,0.081655,30
0.4,0.4,0.2,SBM,0.075521,0.024474,30
0.4,0.4,0.2,WS,0.096250,0.022282,30
0.4,0.5,0.1,CP,0.200000,0.000000,30
0.4,0.5,0.1,RGG,0.256927,0.096682,30
0.4,0.5,0.1,SBM,0.071042,0.014973,30
0.4,0.5,0.1,WS,0.091719,0.025125,30
0.4,0.6,0.0,CP,0.200000,0.000000,30
0.4,0.6,0.0,RGG,0.241719,0.090399,30
0.4,0.6,0.0,SBM,0.067500,0.010871,30
0.4,0.6,0.0,WS,0.087083,0.024800,30
0.5,0.1,0.4,CP,0.198737,0.011255,30
0.5,0.1,0.4,RGG,0.327865,0.108852,30
0.5,0.1,0.4,SBM,0.130475,0.051589,30
0.5,0.1,0.4,WS,0.124531,0.026548,30
0.5,0.2,0.3,CP,0.200365,0.001364,30
0.5,0.2,0.3,RGG,0.267292,0.079002,30
0.5,0.2,0.3,SBM,0.086276,0.023252,30
0.5,0.2,0.3,WS,0.097135,0.023324,30
0.5,0.3,0.2,CP,0.200000,0.000000,30
0.5,0.3,0.2,RGG,0.244583,0.083789,30
0.5,0.3,0.2,SBM,0.076458,0.016045,30
0.5,0.3,0.2,WS,0.098021,0.023523,30
0.5,0.4,0.1,CP,0.200000,0.000000,30
0.5,0.4,0.1,RGG,0.267448,0.109103,30
0.5,0.4,0.1,SBM,0.068021,0.010250,30
0.5,0.4,0.1,WS,0.096615,0.024779,30
0.5,0.5,0.0,CP,0.200000,0.000000,30
0.5,0.5,0.0,RGG,0.263750,0.103580,30
0.5,0.5,0.0,SBM,0.064635,0.009689,30
0.5,0.5,0.0,WS,0.086094,0.018260,30
0.6,0.1,0.3,CP,0.201107,0.001796,30
0.6,0.1,0.3,RGG,0.321302,0.145404,30
0.6,0.1,0.3,SBM,0.127226,0.055113,30
0.6,0.1,0.3,WS,0.119010,0.033988,30
0.6,0.2,0.2,CP,0.199063,0.010869,30
0.6,0.2,0.2,RGG,0.259271,0.073453,30
0.6,0.2,0.2,SBM,0.083906,0.020703,30
0.6,0.2,0.2,WS,0.103281,0.024862,30
0.6,0.3,0.1,CP,0.197370,0.014164,30
0.6,0.3,0.1,RGG,0.266771,0.091129,30
0.6,0.3,0.1,SBM,0.078594,0.015880,30
0.6,0.3,0.1,WS,0.096354,0.030999,30
0.6,0.4,0.0,CP,0.200000,0.000000,30
0.6,0.4,0.0,RGG,0.235000,0.078285,30
0.6,0.4,0.0,SBM,0.075365,0.025624,30
0.6,0.4,0.0,WS,0.094948,0.025905,30
0.7,0.1,0.2,CP,0.201562,0.002672,30
0.7,0.1,0.2,RGG,0.306198,0.095966,30
0.7,0.1,0.2,SBM,0.106048,0.040456,30
0.7,0.1,0.2,WS,0.119583,0.030105,30
0.7,0.2,0.1,CP,0.206953,0.037444,30
0.7,0.2,0.1,RGG,0.307760,0.111165,30
